positie;artiest;titel;;;;
497;Wat Aans!;Half stront, half reeg'nwotter;;;;
496;John Denver;Thank God I'm a country boy;;;;
495;Johan Raspe;Ik goa mien aigen weg;;;;
494;Status Quo;Rockin' all over the world;;;;
493;Rob de Nijs;Zonder jou;;;;
492;Slade;Merry Xmas everybody;;;;
491;Wia Buze;Tabee mien laiverd;;;;
490;Neil Diamond;Beautiful noise;;;;
489;Henk Wijngaard;De stoere jongens uut t Noorden;;;;
488;Guns n' Roses;Sweet child o'mine;;;;
487;Frank Boeijen Groep;Kronenburg park;;;;
486;The Cats;Scarlet ribbons;;;;
485;Edwin Jongedijk;Astoe hier noast mie ligst;;;;
484;Ede Staal;I'm in the blues;;;;
483;Tom Jones;Green green grass of home;;;;
482;Burdy;Kom zing en dans met mij;;;;
481;Pussycat;Mississippi;;;;
480;Jan Henk de Groot;Bonney;;;;
479;Bruce Springsteen;Born in the USA;;;;
478;Andr Hazes & Paul de Leeuw;Droomland;;;;
477;Boudewijn de Groot;Jimmy (hoe sterk is de eenzame fietser);;;;
476;Erwin de Vries;Veenkolonioal;;;;
475;Cuby & The Blizzards;Appleknockers Flophouse;;;;
474;Stef Bos;Is dit nu later;;;;
473;Sijtse Scheeringa;Bloumen mien laive schat;;;;
472;Bob Marley & The Wailers;Three Little Birds;;;;
471;Diggy Dex feat. JW Roy;Treur niet (ode aan het leven);;;;
470;Rod Stewart;Sailing;;;;
469;Hail Gewoon;Vrumde gast;;;;
468;Youp van 't Hek;Flappie;;;;
467;The Rolling Stones;Sympathy for the devil;;;;
466;Marlene Bakker;Golven;;;;
465;John Denver;Calypso;;;;
464;Swinder;Twijde Hans;;;;
463;Jasper Wever & Boy;Laat me nooit alleen;;;;
462;John Miles;Music;;;;
461;Boetenbaintjes;Muziek deur drp;;;;
460;Creedence Clearwater Revival;Proud Mary;;;;
459;Harry Niehof & Los Bomberos;Grunnen leeft;;;;
458;Jaap Reesema;Alles komt goed;;;;
457;Deheleboel;Mis die zo;;;;
456;Zangeres Zonder Naam;Mexico;;;;
455;Scorpions;Wind of change;;;;
454;Burdy;M'n vriend;;;;
453;Willie Nelson;Always on my mind;;;;
452;Andr Hazes Jr.;Leef;;;;
451;Deep Purple;Smoke on the water;;;;
450;Marlene Bakker;Astoe t zain haarst;;;;
449;Cat Stevens;Morning has broken;;;;
448;Nick & Simon;Pak maar m'n hand;;;;
447;Dire Straits;Money for nothing;;;;
446;Danil Lohues;Baat bij muziek;;;;
445;ABBA;Mamma mia;;;;
444;U2;I still haven't found what I'm looking for;;;;
443;Paul de Leeuw;'k Heb je lief;;;;
442;Irene Wilkens & Sikkom Kult;Nog ainmoal daanzen mit die;;;;
441;Normaal;Mama woar is mien pils;;;;
440;Harrie Poeste & Trio Put;Ain twai drai (t gait om de neukerai);;;;
439;Waylon & Jan Smit;Tussen jou en mij;;;;
438;Wia Buze;Blief bie mie tot de mrgen;;;;
437;The Cure;A forest;;;;
436;Maan & Goldband;Stiekem;;;;
435;B Schmaal & Krzysztof Groen;Mag t wel lieden zo;;;;
434;Guus Meeuwis;Brabant;;;;
433;BZN;The old Calahan;;;;
432;Andr Hazes;Zij gelooft in mij;;;;
431;Wat Aans!;Ik ben een G;;;;
430;Nazareth;Love hurts;;;;
429;Marlene Bakker;Nijjoar;;;;
428;Bruce Springsteen;Tougher than the rest;;;;
427;ABBA;Thank you for the music;;;;
426;Kraantje Pappie feat. Joshua Nolet;Liefde in de lucht;;;;
425;Marlene Bakker;Het Hoogelaand;;;;
424;Elvis Presley;Can't help falling in love;;;;
423;De Pompers;Trots van het Noorden;;;;
422;Sinad O'Connor;Nothing compares 2u;;;;
421;Anita Meyer;Why tell me why;;;;
420;UB40;Red red wine;;;;
419;Guns n' Roses;Knockin' on heaven's door;;;;
418;B Schmaal & Krzysztof Groen;Kom mor op;;;;
417;TikTok Tammo;Bietn feest;;;;
416;The Cats;Marian;;;;
415;Peter Fox;Haus am See;;;;
414;Danil Lohues;Aoardig doen tegen mensen die niet aordig doen;;;;
413;Nick & Simon;Kijk omhoog;;;;
412;Wia Buze;De dag woarop dien moeke staarft;;;;
411;Leonard Cohen;So long Marianne;;;;
410;Queen & David Bowie;Under pressure;;;;
409;Erwin de Vries;Dicht bie mie;;;;
408;De Dijk;Als ze er niet is;;;;
407;Dire Straits;Telegraph Road;;;;
406;P Daalemmer & Rooie Rinus;Gehaktbal mit rooie kool;;;;
405;Boudewijn de Groot;Als de rook om je hoofd is verdwenen;;;;
404;Andr Hazes;Zeg maar niets meer;;;;
403;Status Quo;Roll over lay down;;;;
402;Wat Aans!;Batterij;;;;
401;Lady GaGa & Bradley Cooper;Shallow;;;;
400;Peter Schaap;Adem mijn adem;;;;
399;The Doors;Riders on the storm;;;;
398;Erwin de Vries;Prachteg Grunnen;;;;
397;Marianne Rosenberg;Ich bin wie Du;;;;
396;ABBA;Eagle;;;;
395;Nick & Simon;De soldaat;;;;
394;Krzysztof Groen;Noar de volgende ronde;;;;
393;Bruce Springsteen;Streets of Philadelphia;;;;
392;Lucas & Gea Hulshof;De waarheid;;;;
391;Voorheen De Bende & Pazzipanten;Traainconducteur;;;;
390;AC/DC;Whole lotta Rosie;;;;
389;Normaal;De boer is troef;;;;
388;Jan Henk de Groot;101 Dalmatiners;;;;
387;Art Garfunkel;Bright eyes;;;;
386;P & Rinus;Consternoatie in de familie;;;;
385;Acda en de Munnik;Morgen wordt fantastisch;;;;
384;Bob Dylan;Blowin' in the wind;;;;
383;Twarres;Wr bisto;;;;
382;Wat Aans!;Metworst;;;;
381;Wia Buze & Klaas Spekken;Zunder die;;;;
380;Tina Turner & David Bowie;Tonight;;;;
379;Erwin de Vries;Zummer in Oost Grunnen;;;;
378;De Stroatklinkers;In Haarkstee staait gain kroug;;;;
377;Goldband;Noodgeval;;;;
376;Queen;Who wants to live forever;;;;
375;ABBA;The day before you came;;;;
374;P Daalemmer & Rooie Rinus;Lopster toren;;;;
373;Bruce Springsteen;Dancing in the dark;;;;
372;Bette Midler;The rose;;;;
371;Erwin de Vries & Davine;Mooie minsen;;;;
370;Dutch Boys;America en Oude Pekela;;;;
369;Van Halen;Jump;;;;
368;George Baker Selection;Paloma blanca;;;;
367;B Schmaal & Krzysztof Groen;Ik zing;;;;
366;U2;Sunday bloody sunday;;;;
365;Jannes;Laat de zon maar schijnen;;;;
364;Simone Kleinsma & Paul de Leeuw;Zonder jou;;;;
363;Deheleboel;Broodje shoarma;;;;
362;Suzan & Freek;Als het avond is;;;;
361;Vangelis;Conquest of paradise;;;;
360;Status Quo;Whatever you want;;;;
359;Jeroen Russchen;Zunnebril;;;;
358;Elvis Presley;My boy;;;;
357;Voorheen De Bende;Heracliden oet;;;;
356;Dire Straits;Private investigations;;;;
355;Henk Westbroek;Zelfs je naam is mooi;;;;
354;Stad;Wilma met de honden;;;;
353;Bruce Springsteen;My hometown;;;;
352;Lianne Abeln;Groningen, Grunnen mien stad;;;;
351;Henk Wijngaard;'n Sneeuwwitte bruidsjurk;;;;
350;Matthias Reim;Verdammt ich lieb' dich;;;;
349;Ed Sheeran;Perfect;;;;
348;Bryan Adams;Summer of '69;;;;
347;Jan Henk de Groot;Sapmeer;;;;
346;De Tuutjefloiters;Ik hol van mien laand;;;;
345;Piet Veerman;Sailin' home;;;;
344;Burdy;Kom kus mie;;;;
343;Coldplay;Viva la vida;;;;
342;ABBA;Happy new year;;;;
341;Golden Earring;Twilight zone;;;;
340;Dolly Parton;Jolene;;;;
339;Marlene Bakker;Doe waist beter;;;;
338;Hail Gewoon;Nana neusbeer;;;;
337;Davina Michelle;Duurt te lang;;;;
336;Pink Floyd;Another brick in the wall;;;;
335;Danil Lohues;Elk mens die hef zich 'n kruus te dragen;;;;
334;P Daalemmer & Rooie Rinus;Italianen;;;;
333;Simon & Garfunkel;El Condor pasa;;;;
332;ZZ Top;Gimme all your lovin';;;;
331;Ede Staal;Aans as aans;;;;
330;Wia Buze;Kop der veur;;;;
329;Bruce Springsteen;Glory days;;;;
328;Guus Meeuwis;Geef mij je angst;;;;
327;Steernvanger;Loat moar zitten die snei;;;;
326;Ike & Tina Turner;Proud Mary;;;;
325;De Kast;In nije dei;;;;
324;Jannes;Een beetje meer;;;;
323;Queen;Somebody to love;;;;
322;Wia Buze & Erwin de Vries;Ol Grait;;;;
321;Elvis Presley;Always on my mind;;;;
320;Tiktok Tammo;Geef mie dien blues (live);;;;
319;Creedence Clearwater Revival;Who'll stop the rain;;;;
318;ABBA;Waterloo;;;;
317;Arno van der Heyden;Schoapen;;;;
316;Ramses Shaffy;Zing vecht huil bid lach werk en bewonder;;;;
315;Klaas Spekken;Takken in de wind;;;;
314;Freddy Mercury & Montserrat Caball;Barcelona;;;;
313;Elton John;Candle in the wind;;;;
312;Alex Vissering;Haarfst in Westerwolde;;;;
311;Johan Raspe;Moi;;;;
310;Golden Earring;Another 45 miles;;;;
309;Henk Wijngaard & Bernardine Waterloo;Mijn Groningen;;;;
308;ABBA;Chiquitita;;;;
307;Boudewijn de Groot;Welterusten mijnheer de president;;;;
306;P Daalemmer & Rooie Rinus;De plattelandsvrouwen;;;;
305;Boney M;Rivers of Babylon;;;;
304;Ancora;Vrij als de wind;;;;
303;Wia Buze;Doe bist mien zunneschien;;;;
302;Kraantje Pappie;Feesttent;;;;
301;U2;With or without you;;;;
300;Erwin de Vries;Komt weer goud;;;;
299;Johnny Cash;Ring of fire;;;;
298;Jaap Reesema;Grijs;;;;
297;Alje van Bolhuis & Wia Buze;As ik denk an die;;;;
296;Eagles;Desperado;;;;
295;Disturbed;The sound of silence;;;;
294;Ramses Shaffy;Laat me;;;;
293;Wat Aans!;Carnaval in t Noorden;;;;
292;The Animals;House of the rising sun;;;;
291;Robert Long & Simone Kleinsma;Vanmorgen vloog ze nog;;;;
290;Metallica;One;;;;
289;BZN;Just an illusion;;;;
288;Kensington;Sorry;;;;
287;Diverse Groninger Artiesten;As vaaier woorden;;;;
286;Wia Buze;Blief nog even;;;;
285;Andrea Bocelli & Sarah Brightman;Time to say goodbye (con te partiro);;;;
284;Jan Henk de Groot;Opa kin alles;;;;
283;Ancora;Hoog in 't Noorden;;;;
282;Elvis Presley;Suspicious minds;;;;
281;Vicky Brown & New London Chorale;Stay with me 'till the morning;;;;
280;Vader Abraham;In 't kleine caf aan de haven;;;;
279;Creedence Clearwater Revival;I put a spell on you;;;;
278;Rob de Nijs;Het werd zomer;;;;
277;Wat Aans!;Home;;;;
276;Lucas & Gea Hulshof;Kristall der Heimat;;;;
275;De Troebadoers;In de nacht;;;;
274;The Rolling Stones;Angry;;;;
273;Evert Baptist;La la la gehaktbal;;;;
272;Racoon;Oceaan;;;;
271;Henk Wijngaard;Doe bist mien speklap, mien laiverd;;;;
270;The Beatles;Let it be;;;;
269;De Specials;FC Groningen, laat ons weer eens juichen!;;;;
268;Steernvanger;Alle beren aan de kaant;;;;
267;Jannes;Laat me vrij;;;;
266;Queen;I want to break free;;;;
265;Moody Blues;Nights in white satin;;;;
264;Het Sneeuwbaltrio;Ad, m'n kleine Paloma;;;;
263;Andr Hazes;Bloed, zweet en tranen;;;;
262;Wat Aans!;Mien poedie;;;;
261;Wia Buze & Jasper Wever;As ik denk aan die;;;;
260;BZN;Mon amour;;;;?
259;Marlene Bakker;Raif;;;;
258;The Rolling Stones;(I can't get no) Satisfaction;;;;
257;Edwin Jongedijk;Oadem mien oadem;;;;
256;Deheleboel;Op fietse deur Grunnen;;;;
255;Burdy;Kop dr veur;;;;
254;Prince & The Revolution;Purple rain;;;;
253;Frans Duijts;Jij denkt maar dat je alles mag van mij;;;;
252;Erwin de Vries;Mien laid;;;;
251;New Adventures;Come on;;;;
250;Steernvanger;15 joar;;;;
249;Rob de Nijs;Foto van vroeger;;;;
248;P Daalemmer & Rooie Rinus;Framenummer;;;;
247;Kenny Rogers & Dolly Parton;Islands in the stream;;;;
246;Driefzand;Ik blief lekker thoes;;;;
245;Wia Buze;Beste mor weer;;;;
244;Dire Straits;Sultans of swing;;;;
243;Skik;'t Giet zoas 't giet;;;;
242;Marlene Bakker;Oaventuren;;;;
241;Jan Henk de Groot;Dubbel cassettedeck;;;;
240;The Cats;Lea;;;;
239;Ede Staal;Grunnegers veur gevorderden;;;;
238;De Tuutjefloiters;In t fluustern van de wind;;;;
237;The Beatles;Hey Jude;;;;
236;Boudewijn de Groot;De vondeling van Ameland;;;;
235;B Schmaal;Ik liek zoveul op die;;;;
234;Stad;Knikkers;;;;
233;Fleetwood Mac;Go your own way;;;;
232;Erwin de Vries;Mis die;;;;
231;Ede Staal;When the waves are too high;;;;
230;Burdy;Ik hol van Grunnen;;;;
229;ABBA;I have a dream;;;;
228;Swinder;Noar Stad;;;;
227;Steernvanger;Het zel weer veurjoar worden;;;;
226;Wham!;Last Christmas;;;;
225;Jan Smit & Marco Schuitmaker;Van Goes tot Purmerend;;;;
224;Henk Wijngaard;Met de vlam in de pijp;;;;
223;The Rolling Stones;Paint it black;;;;
222;Edwin Jongedijk;Astoe aan mie denkst;;;;
221;Irene Wilkens & Edwin Jongedijk & Sikkom Kult;Zundagskind;;;;
220;Coldplay;Fix you;;;;
219;Floor Jansen & Henk Poort;Phantom of the opera;;;;
218;Andr Hazes;Kleine jongen;;;;
217;Creedence Clearwater Revival;Bad moon rising;;;;
216;Steernvanger;Vandoage komt;;;;
215;Erwin de Vries;Grunniger wicht;;;;
214;Nena;99 Luftballons;;;;
213;Ede Staal;Sloaperstil;;;;
212;Pink Floyd;Wish you were here;;;;
211;Ede Staal;Grunnegers veur begunners;;;;
210;Golden Earring;When the lady smiles;;;;
209;B Schmaal;Zwait en zwoare sjek;;;;
208;Kraantje Pappie;Lil Craney;;;;
207;Steernvanger;Al groot;;;;
206;Bon Jovi;Bed of roses;;;;
205;Rob de Nijs;Banger hart;;;;
204;Wat Aans!;Uut Grunn;;;;
203;Erwin de Vries;Ooit;;;;
202;Tina Turner;The best;;;;
201;Steernvanger;Allain;;;;
200;Deep Purple;Child in time;;;;?
199;Boudewijn de Groot;Testament;;;;
198;AC/DC;Highway to hell;;;;
197;Marlene Bakker;Zolaank;;;;
196;Klein Orkest;Over de muur;;;;
195;Eric Clapton;Tears in heaven;;;;
194;Burdy;Bring mie thoes Waddenzee;;;;
193;Benny Neyman;Waarom fluister ik je naam nog;;;;
192;Steernvanger;La la laifde;;;;
191;John Denver;Take me home country roads;;;;
190;Jannes;Ga dan;;;;
189;Edwin Jongedijk;Mien drp;;;;
188;De Troebadoers;Oma Siepelsju;;;;
187;The Beatles;Yesterday;;;;
186;The Javelins & P en Rinus;Weerom noar de sixties;;;;
185;Ro-d-ys;Just fancy;;;;
184;Metallica;Nothing else matters;;;;
183;Wia Buze;Grunnens laid;;;;
182;Steernvanger;Steernvanger;;;;
181;The Rolling Stones;Angie;;;;
180;Rob de Nijs;Alles wat ademt;;;;
179;Martijn van der Zande;Kade van Nes;;;;
178;Jannes;Huilen doe ik wel alleen;;;;
177;Mooi Wark;In de blote kont;;;;
176;Elvis Presley;In the ghetto;;;;
175;Olaf Vos;Aaierbaal;;;;
174;Wia Buze;Lydia;;;;
173;TikTok Tammo;Free the bietn;;;;
172;Rammstein;Engel;;;;
171;Lucas & Gea Hulshof;Ik zal dansen op je bruiloft;;;;
170;Robbie Williams;Angels;;;;
169;Harry Niehof;Altied onderwegens;;;;
168;Ede Staal;Zo mouvve t holn;;;;
167;Toto;Africa;;;;
166;Johan Raspe;Sapmeer is aans;;;;
165;Jannes;Ga maar weg;;;;
164;Creedence Clearwater Revival;Have you ever seen the rain;;;;
163;De Wuko's;De ijsbeer van het Noorden;;;;
162;Wat Aans! feat. Wia Buze;Grunnegs hoop;;;;
161;ABBA;The winner takes it all;;;;
160;Ren Beverwijk;Kilo of acht;;;;
159;AC/DC;Thunderstruck;;;;
158;Marlene Bakker;As t boeten strmt;;;;
157;Deheleboel;Winkeln in Winschoten;;;;
156;Herman Brood;Saturday night;;;;
155;Wat Aans!;Dik doun;;;;
154;Van Dik Hout;Stil in mij;;;;
153;Queen;Love of my life;;;;
152;P Daalemmer & Rooie Rinus;Zondagoavendblues;;;;
151;Mooi Wark;Warkende helden;;;;
150;Edwin Jongedijk & Wia Buze & Haydn Jeugd Strijkork;Het het nog nooit zo donker west;;;;
149;Wia Buze;Ik mag die aibels geern;;;;
148;Erwin de Vries;Oompie Jan;;;;
147;Dire Straits;Walk of life;;;;
146;Deheleboel;Winschoterdaip;;;;
145;Bruce Springsteen;The river;;;;
144;Liesbeth List & Ramses Shaffy;Pastorale;;;;
143;Klaas Spekken;Laand woar ik bin geboren;;;;
142;Ede Staal;De nacht;;;;
141;Burdy;De hypnotiseur;;;;
140;Arnold Veeman & Noordpool Orkest;Mien Grunneger Stad;;;;
139;Guns n' Roses;November rain;;;;
138;P Daalemmer & Rooie Rinus;Schiermonnikoog;;;;
137;Edwin Jongedijk & Marlene Bakker;Ofschaaid;;;;
136;Josien Bakker;Ritme;;;;
135;Erwin de Vries;Kapsalon Anita;;;;
134;Tiktok Tammo & Mooi Wark;De bietn blues;;;;
133;P Daalemmer & Rooie Rinus;Hee doe (live);;;;
132;Hail Gewoon;Soep, vlees en pudding;;;;
131;Swinder;Ik zai Pekel nooit weer;;;;
130;De Pompers;Grunneger laand;;;;
129;Bl?f feat. Geike Arnaert;Zoutelande;;;;
128;The Cats;One way wind;;;;
127;P Daalemmer & Rooie Rinus;Jelle (gaat lekker);;;;
126;Leonard Cohen;Hallelujah;;;;
125;Bert Hadders & De Nozems;Poolse bruid;;;;
124;Ede Staal;Ik heb t hier bekeken;;;;
123;Dire Straits;Brothers in arms;;;;
122;Billy Joel;Piano man;;;;
121;Ede Staal;k Heb zeubranden, k heb koeskillen;;;;
120;Andr Hazes;De vlieger;;;;
119;Wia Buze;Mien wad, mien stilte;;;;
118;Deheleboel;Widde hoeske, leutje Ulsda;;;;
117;Burdy;Ramona Ramona;;;;
116;Alex Vissering;Opa waist;;;;
115;Procol Harum;A whiter shade of pale;;;;
114;P Daalemmer & Rooie Rinus;Alcohol;;;;
113;Normaal;Deurdonderen;;;;
112;Krzysztof Groen;Op riddel;;;;
111;ABBA;Dancing queen;;;;
110;Josien Bakker;Mien Westerwolde;;;;
109;Led Zeppelin;Stairway to heaven;;;;
108;Ede Staal;Wat moakt het oet;;;;
107;Bert Hadders & De Nozems;Elvis, keuning van de Bunermond;;;;
106;Marlene Bakker;Hai hai;;;;
105;Di-rect;Soldier on;;;;
104;Neil Diamond;Sweet Caroline;;;;
103;Ede Staal;Life is more than a song;;;;
102;Sijtse Scheeringa;Mien olle Puch;;;;
101;Ro-d-ys;Take her home;;;;
100;Alex Vissering;Westerwolle;;;;
99;Burdy Martin & Tjeerd;Ik ben een Noorderling;;;;
98;Wat Aans!;Sjomp;;;;
97;P Daalemmer & Rooie Rinus;Z-side;;;;
96;John Lennon;Imagine;;;;
95;Mooi Wark;Doodse stilte;;;;
94;Erwin de Vries;Tik tok dans mit mie;;;;
93;Ede Staal;Geef mie dien blues;;;;
92;Ede Staal;As t boeten strmt;;;;
91;Jan Henk de Groot;Kielsterachterweg;;;;
90;IsOokSchitterend!;Voltooid verleden tijd;;;;
89;Jan Henk de Groot;Vuurtje kieken;;;;
88;Ede Staal;Termunterziel;;;;
87;Jannes;Mijn naam is Jannes;;;;
86;Deheleboel;Miss Scheemda;;;;
85;Simon & Garfunkel;Bridge over troubled water;;;;
84;Jan Henk de Groot;Stiltecoupe;;;;
83;Danil Lohues;Prachtig mooie dag;;;;
82;Rieks Schuring;As ik votgoa;;;;
81;P Daalemmer & Rooie Rinus;Grnnens laid;;;;
80;Lucas & Gea Hulshof;Steeds weer huil je;;;;
79;Marlene Bakker;Waarkhanden;;;;
78;Normaal;Oerend hard;;;;
77;Harry Niehof;Rimpeling;;;;
76;Ede Staal;Help me through the night;;;;
75;Simon & Garfunkel;The sound of silence;;;;
74;De Bende van Baflo Bill;Dreents liedtie;;;;
73;Wat Aans!;Roelfina;;;;
72;Lianne Abeln;Mien slichte laand;;;;
71;Ede Staal;De hoaven van Delfziel;;;;
70;Alex Vissering;Westerwold;;;;
69;Steernvanger;Mooie dag;;;;
68;Jannes;Adio, amore, adio;;;;
67;Herman Bonthuis;Moeke k bin n dail van die;;;;
66;Cuby & The Blizzards;Window of my eyes;;;;
65;Wat Aans!;Woaromdatten!?;;;;
64;Ede Staal;Mien lutje laiverd;;;;
63;P Daalemmer & Rooie Rinus;Baukelien;;;;
62;Burdy;Sayonara;;;;
61;Golden Earring;Radar love;;;;
60;Askay Brothers;Naargns beter as thoes;;;;
59;Wim Sonneveld;Het dorp;;;;
58;Ede Staal;Nij Stoatenziel;;;;
57;Meat Loaf;Paradise by the dashboard light;;;;
56;Stef Bos;Papa;;;;
55;Danil Lohues;Hier kom ik weg;;;;
54;Erwin de Vries;Leef t leven;;;;
53;Ede Staal;Veujoar in de kop;;;;
52;Claudia de Breij;Mag ik dan bij jou;;;;
51;Ede Staal;Het zel weer veurjoar worden;;;;
50;Wia Buze;Mag ik din bie die;;;;
49;Peter Maffay;Du;;;;
48;Arnold Veeman & The Yellowish Summer Evening;Mien lutje laif;;;;
47;Voorheen De Bende & Pazzipanten;Bie de Lidl;;;;
46;Alex Vissering;Lutje wicht;;;;
45;Skik;Op fietse;;;;
44;Boudewijn de Groot;Avond;;;;
43;Queen;Bohemian rhapsody;;;;
42;Roon Staal;Help me through the night;;;;
41;Ede Staal;Wie schenken ons nog ain in;;;;
40;P Daalemmer & Rooie Rinus;Carnaval in t Noorden;;;;
39;Eagles;Hotel California;;;;
38;Ede Staal;Vrouger;;;;
37;Voorheen De Bende & Pazzipanten;Doen in Oskerd;;;;
36;Helene Fischer;Atemlos durch die Nacht;;;;
35;Bert Hadders & De Nozems;Beloofde laand;;;;
34;De Troebadoers;Riekdom;;;;
33;Erwin de Vries;Doe;;;;
32;Wat Aans! & Burdy;Miljonair;;;;
31;Ede Staal;Het twijde perron;;;;
30;Jannes;Zwevend naar 't geluk;;;;
29;Ede Staal;Credo-mien bestoan;;;;
28;Wia Buze;Ik kom van Ziel;;;;
27;Alex Vissering;Mien machteg Wad;;;;
26;Ede Staal;Genoat;;;;
25;Jan Henk de Groot;Noar Stad;;;;
24;Burdy;De vissers van Zoltkamp;;;;
23;Ede Staal;As vaaier woorden;;;;
22;Miss Montreal;Door de wind;;;;
21;Wat Aans!;Trilploat;;;;
20;Ede Staal;Zalstoe aaltied bie mie blieven;;;;
19;Ede Staal;Doar bluit mien eerappellaand;;;;
18;Danny Vera;Roller coaster;;;;
17;Ralf Poelman;Groningen (het gras van het Noorderplantsoen);;;;
16;Burdy;Welkom in de bus;;;;
15;Ede Staal;Mien Grunningerlaand;;;;
14;Arno van der Heyden & Trio Put;De Vief;;;;
13;Edwin Jongedijk;As ik de kaans zol kriegen;;;;
12;Burdy;Mit mien ogen dicht;;;;
11;P Daalemmer & Rooie Rinus;Hoornse plas;;;;
10;Erwin de Vries;Maffiosa;;;;
9;Ede Staal;Het Hoogelaand;;;;
8;Jan Henk de Groot;Mamme van Michel;;;;
7;Ede Staal;Mien toentje;;;;
6;Deheleboel;De polder;;;;
5;Marco Schuitemaker;Engelbewaarder;;;;
4;Alex Vissering;De groanrepubliek;;;;
3;Wia Buze;De roos;;;;
2;Wat Aans!;Wakker in Grunn;;;;
1;Ede Staal;Het het nog nooit zo donker west;;;;
